,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,hp
238,37.0,44.0,5,0,0,0,0,0,0,7,7,195.80587423976976
239,36.0,44.0,5,0,0,0,0,0,0,8,7,210.03385957461433
240,35.0,44.0,5,0,0,0,0,0,0,9,7,224.4057164978003
241,34.0,44.0,5,0,0,0,0,0,0,10,7,238.92144500932773
242,33.0,44.0,5,0,0,0,0,0,0,11,7,253.58104510919657
243,32.0,44.0,5,0,0,0,0,0,0,12,7,268.3845167977852
244,31.0,44.0,5,0,0,0,0,0,0,13,7,283.3318600747152
245,40.0,44.0,5,0,0,0,0,0,0,3,8,151.39011687613674
246,39.0,44.0,5,0,0,0,0,0,0,4,8,165.67520474395133
247,38.0,44.0,5,0,0,0,0,0,0,5,8,180.1041642002965
248,37.0,44.0,5,0,0,0,0,0,0,6,8,194.67699524498312
249,36.0,44.0,5,0,0,0,0,0,0,7,8,209.3936978780548
250,35.0,44.0,5,0,0,0,0,0,0,8,8,224.25427209972986
251,34.0,44.0,5,0,0,0,0,0,0,9,8,239.2587179094844
252,33.0,44.0,5,0,0,0,0,0,0,10,8,254.40703530822066
253,32.0,44.0,5,0,0,0,0,0,0,11,8,269.69922429492
254,31.0,44.0,5,0,0,0,0,0,0,12,8,285.13528487016447
255,40.0,44.0,5,0,0,0,0,0,0,2,9,148.66668951581232
256,39.0,44.0,5,0,0,0,0,0,0,3,9,163.44049468202866
257,38.0,44.0,5,0,0,0,0,0,0,4,9,178.3581714368047
258,37.0,44.0,5,0,0,0,0,0,0,5,9,193.41971977989306
259,36.0,44.0,5,0,0,0,0,0,0,6,9,208.62513971125009
260,35.0,44.0,5,0,0,0,0,0,0,7,9,223.97443123126868
261,34.0,44.0,5,0,0,0,0,0,0,8,9,239.46759433936677
262,33.0,44.0,5,0,0,0,0,0,0,9,9,255.10462903641746
263,32.0,44.0,5,0,0,0,0,0,0,10,9,270.88553532160586
264,31.0,44.0,5,0,0,0,0,0,0,11,9,286.810313195223
265,40.0,44.0,5,0,0,0,0,0,0,1,10,145.81486568522814
266,39.0,44.0,5,0,0,0,0,0,0,2,10,161.07738814974437
267,38.0,44.0,5,0,0,0,0,0,0,3,10,176.48378220295126
268,37.0,44.0,5,0,0,0,0,0,0,4,10,192.03404784435406
269,36.0,44.0,5,0,0,0,0,0,0,5,10,207.72818507414195
270,35.0,44.0,5,0,0,0,0,0,0,6,10,223.56619389288244
271,34.0,44.0,5,0,0,0,0,0,0,7,10,239.54807429929497
272,33.0,44.0,5,0,0,0,0,0,0,8,10,255.6738262945437
273,32.0,44.0,5,0,0,0,0,0,0,9,10,271.9434498777264
274,31.0,44.0,5,0,0,0,0,0,0,10,10,288.3569450506475
275,40.0,44.0,5,0,0,0,0,0,0,0,11,142.83464538461703
